+-----+------------+------+-------+
| id  | date       | hour | count |
| 525 | 2021-01-05 |   18 |   126 |
| 526 | 2021-01-05 |   19 |   168 |
| 527 | 2021-01-05 |   20 |   161 |
| 528 | 2021-01-05 |   21 |   166 |
| 529 | 2021-01-05 |   22 |   117 |
| 530 | 2021-01-05 |   23 |    71 |
| 531 | 2021-01-06 |    0 |    27 |
| 532 | 2021-01-06 |    1 |    16 |
| 533 | 2021-01-06 |    2 |     8 |
| 534 | 2021-01-06 |    3 |     2 |
| 534 | 2021-01-06 |    4 |     0 |
| 534 | 2021-01-06 |    5 |     0 |
| 535 | 2021-01-06 |    6 |     6 |
| 536 | 2021-01-06 |    7 |    10 |
| 537 | 2021-01-06 |    8 |    24 |
| 538 | 2021-01-06 |    9 |    41 |
| 539 | 2021-01-06 |   10 |    63 |
| 540 | 2021-01-06 |   11 |   103 |
| 541 | 2021-01-06 |   12 |   102 |
| 542 | 2021-01-06 |   13 |   116 |
| 543 | 2021-01-06 |   14 |   130 |
| 544 | 2021-01-06 |   15 |   111 |
| 545 | 2021-01-06 |   16 |   114 |
| 546 | 2021-01-06 |   17 |   102 |
| 547 | 2021-01-06 |   18 |   110 |
| 548 | 2021-01-06 |   19 |   163 |
| 549 | 2021-01-06 |   20 |   153 |
| 550 | 2021-01-06 |   21 |   162 |
| 551 | 2021-01-06 |   22 |    88 |
| 552 | 2021-01-06 |   23 |    51 |
| 553 | 2021-01-07 |    0 |    20 |
| 554 | 2021-01-07 |    1 |    11 |
| 555 | 2021-01-07 |    2 |     6 |
| 556 | 2021-01-07 |    3 |     4 |
| 557 | 2021-01-07 |    4 |     4 |
| 558 | 2021-01-07 |    5 |     4 |
| 559 | 2021-01-07 |    6 |     8 |
| 560 | 2021-01-07 |    7 |    13 |
| 561 | 2021-01-07 |    8 |    28 |
| 562 | 2021-01-07 |    9 |    50 |
| 563 | 2021-01-07 |   10 |    57 |
| 564 | 2021-01-07 |   11 |    82 |
| 566 | 2021-01-07 |   12 |   104 |
| 567 | 2021-01-07 |   13 |   125 |
| 569 | 2021-01-07 |   14 |   116 |
| 570 | 2021-01-07 |   15 |   147 |
| 571 | 2021-01-07 |   16 |    86 |
| 572 | 2021-01-07 |   17 |   111 |
| 573 | 2021-01-07 |   18 |   113 |
| 574 | 2021-01-07 |   19 |   170 |
| 575 | 2021-01-07 |   20 |   174 |
| 576 | 2021-01-07 |   21 |   157 |
| 577 | 2021-01-07 |   22 |    99 |
| 578 | 2021-01-07 |   23 |    47 |
| 579 | 2021-01-08 |    0 |    19 |
| 580 | 2021-01-08 |    1 |    12 |
